RANK,COUNTRY,Total Fertility Rate,DATE OF INFORMATION
187,SAINT PIERRE AND MIQUELON,1.57,2016 EST.
188,MOLDOVA,1.56,2016 EST.
189,GUERNSEY,1.56,2016 EST.
190,SWITZERLAND,1.55,2016 EST.
191,MALTA,1.55,2016 EST.
192,UKRAINE,1.54,2016 EST.
193,MONACO,1.53,2016 EST.
194,PORTUGAL,1.53,2016 EST.
195,LATVIA,1.51,2016 EST.
196,THAILAND,1.51,2016 EST.
197,ALBANIA,1.51,2016 EST.
198,SAN MARINO,1.5,2016 EST.
199,SPAIN,1.49,2016 EST.
200,BELARUS,1.48,2016 EST.
201,CYPRUS,1.47,2016 EST.
202,AUSTRIA,1.47,2016 EST.
203,BULGARIA,1.46,2016 EST.
204,CZECHIA,1.45,2016 EST.
205,GERMANY,1.44,2016 EST.
206,HUNGARY,1.44,2016 EST.
207,SERBIA,1.43,2016 EST.
208,ITALY,1.43,2016 EST.
209,GREECE,1.42,2016 EST.
210,JAPAN,1.41,2016 EST.
211,SLOVAKIA,1.4,2016 EST.
212,ANDORRA,1.39,2016 EST.
213,CROATIA,1.39,2016 EST.
214,SLOVENIA,1.35,2016 EST.
215,POLAND,1.34,2016 EST.
216,ROMANIA,1.34,2016 EST.
217,MONTSERRAT,1.31,2016 EST.
218,BRITISH VIRGIN ISLANDS,1.28,2016 EST.
219,BOSNIA AND HERZEGOVINA,1.28,2016 EST.
220,"KOREA, SOUTH",1.25,2016 EST.
221,HONG KONG,1.19,2016 EST.
222,TAIWAN,1.12,2016 EST.
223,MACAU,0.94,2016 EST.
224,SINGAPORE,0.82,2016 EST.
